DateTime parsed,Weight on Bit kkgf,Average Surface Torque kN.m,Rate of Penetration m/h,Total Depth m,Bit Depth (MD) m,Average Rotary Speed rpm
2009-06-27 18:16:30+00:00,,,,892.0,,
2009-06-27 18:17:00+00:00,,,,892.0,,
2009-06-27 18:17:30+00:00,,,,892.0,,
2009-06-27 18:18:00+00:00,,,,892.0,,
2009-06-27 18:18:30+00:00,,,,892.0,,
2009-06-27 18:19:00+00:00,,,,892.0,,
2009-06-27 18:19:30+00:00,,,,892.0,,
2009-06-27 18:20:00+00:00,,,,892.0,,
2009-06-27 18:20:30+00:00,,,,892.0,,
2009-06-27 18:21:00+00:00,,,,892.0,,
2009-06-27 18:21:30+00:00,,,,892.0,,
2009-06-27 18:22:00+00:00,,,,892.0,,
2009-06-27 18:22:30+00:00,,,,892.0,,
2009-06-27 18:23:00+00:00,,,,892.0,,
2009-06-27 18:23:30+00:00,,,,892.0,,
2009-06-27 18:24:00+00:00,,,,892.0,,
2009-06-27 18:24:30+00:00,,,,892.0,,
2009-06-27 18:25:00+00:00,,,,892.0,,
2009-06-27 18:25:30+00:00,,,,892.0,,
2009-06-27 18:26:00+00:00,,,,892.0,,
2009-06-27 18:26:30+00:00,,,,892.0,,
2009-06-27 18:27:00+00:00,,,,892.0,,
2009-06-27 18:27:30+00:00,,,,892.0,,
2009-06-27 18:28:00+00:00,,,,892.0,,
2009-06-27 18:28:30+00:00,,,,892.0,,
2009-06-27 18:29:00+00:00,,,,892.0,,
2009-06-27 18:29:30+00:00,,,,892.0,,
2009-06-27 18:30:00+00:00,,,,892.0,,
2009-06-27 18:30:30+00:00,,,,892.0,,
2009-06-27 18:31:00+00:00,,,,892.0,,
2009-06-27 18:31:30+00:00,,,,892.0,,
2009-06-27 18:32:00+00:00,,,,892.0,,
2009-06-27 18:32:30+00:00,,,,892.0,,
2009-06-27 18:33:00+00:00,,,,892.0,,
2009-06-27 18:33:30+00:00,,,,892.0,,
2009-06-27 18:34:00+00:00,,,,892.0,,
2009-06-27 18:34:30+00:00,,,,892.0,,
2009-06-27 18:35:00+00:00,,,,892.0,,
2009-06-27 18:35:30+00:00,,,,892.0,,
2009-06-27 18:36:00+00:00,,,,892.0,,
2009-06-27 18:36:30+00:00,,,,892.0,,
2009-06-27 18:37:00+00:00,,,,892.0,,
2009-06-27 18:37:30+00:00,,,,892.0,,
2009-06-27 18:38:00+00:00,,,,892.0,,
2009-06-27 18:38:30+00:00,,,,892.0,,
2009-06-27 18:39:00+00:00,,,,892.0,,
2009-06-27 18:39:30+00:00,,,,892.0,,
2009-06-27 18:40:00+00:00,,,,892.0,,
2009-06-27 18:40:30+00:00,,,,892.0,,
2009-06-27 18:41:00+00:00,,,,892.0,,
2009-06-27 18:41:30+00:00,,,,892.0,,
2009-06-27 18:42:00+00:00,,,,892.0,,
2009-06-27 18:42:30+00:00,,,,892.0,,
2009-06-27 18:43:00+00:00,,,,892.0,,
2009-06-27 18:43:30+00:00,,,,892.0,,
2009-06-27 18:44:00+00:00,,,,892.0,,
2009-06-27 18:44:30+00:00,,,,892.0,,
2009-06-27 18:45:00+00:00,,,,892.0,,
2009-06-27 18:45:30+00:00,,,,892.0,,
2009-06-27 18:46:00+00:00,,,,892.0,,
2009-06-27 18:46:30+00:00,,,,892.0,,
2009-06-27 18:47:00+00:00,,,,892.0,,
2009-06-27 18:47:30+00:00,,,,892.0,,
2009-06-27 18:48:00+00:00,,,,892.0,,
2009-06-27 18:48:30+00:00,,,,892.0,,
2009-06-27 18:49:00+00:00,,,,892.0,,
2009-06-27 18:49:30+00:00,,,,892.0,,
2009-06-27 18:50:00+00:00,,,,892.0,,
2009-06-27 18:50:30+00:00,,,,892.0,,
2009-06-27 18:51:00+00:00,,,,892.0,,
2009-06-27 18:51:30+00:00,,,,892.0,,
2009-06-27 18:52:00+00:00,,,,892.0,,
2009-06-27 18:52:30+00:00,,,,892.0,,
2009-06-27 18:53:00+00:00,,,,892.0,,
2009-06-27 18:53:30+00:00,,,,892.0,,
2009-06-27 18:54:00+00:00,,,,892.0,,
2009-06-27 18:54:30+00:00,,,,892.0,,
2009-06-27 18:55:00+00:00,,,,892.0,,
2009-06-27 18:55:30+00:00,,,,892.0,,
2009-06-27 18:56:00+00:00,,,,892.0,,
2009-06-27 18:56:30+00:00,,,,892.0,,
2009-06-27 18:57:00+00:00,,,,892.0,,
2009-06-27 18:57:30+00:00,,,,892.0,,
2009-06-27 18:58:00+00:00,,,,892.0,,
2009-06-27 18:58:30+00:00,,,,892.0,,
2009-06-27 18:59:00+00:00,,,,892.0,,
2009-06-27 18:59:30+00:00,,,,892.0,,
2009-06-27 19:00:00+00:00,,,,892.0,,
2009-06-27 19:00:30+00:00,,,,892.0,,
2009-06-27 19:01:00+00:00,,,,892.0,,
2009-06-27 19:01:30+00:00,,,,892.0,,
2009-06-27 19:02:00+00:00,,,,892.0,,
2009-06-27 19:02:30+00:00,,,,892.0,,
2009-06-27 19:03:00+00:00,,,,892.0,,
2009-06-27 19:03:30+00:00,,,,892.0,,
2009-06-27 19:04:00+00:00,,,,892.0,,
2009-06-27 19:04:30+00:00,,,,892.0,,
2009-06-27 19:05:00+00:00,,,,892.0,,
2009-06-27 19:05:30+00:00,,,,892.0,,
2009-06-27 19:06:00+00:00,,,,892.0,,
2009-06-27 19:06:30+00:00,,,,892.0,,
2009-06-27 19:07:00+00:00,,,,892.0,,
2009-06-27 19:07:30+00:00,,,,892.0,,
2009-06-27 19:08:00+00:00,,,,892.0,,
2009-06-27 19:08:30+00:00,,,,892.0,,
2009-06-27 19:09:00+00:00,,,,892.0,,
2009-06-27 19:09:30+00:00,,,,892.0,,
2009-06-27 19:10:00+00:00,,,,892.0,,
2009-06-27 19:10:30+00:00,,,,892.0,,
2009-06-27 19:11:00+00:00,,,,892.0,,
2009-06-27 19:11:30+00:00,,,,892.0,,
2009-06-27 19:12:00+00:00,,,,892.0,,
2009-06-27 19:12:30+00:00,,,,892.0,,
2009-06-27 19:13:00+00:00,,,,892.0,,
2009-06-27 19:13:30+00:00,,,,892.0,,
2009-06-27 19:14:00+00:00,,,,892.0,,
